student_id,interests,experience_level,learning_mode
STU00147,"Cybersecurity, Web Development",Intermediate,Reading
STU00148,Deep Learning,Beginner,Reading
STU00149,"Machine Learning, Python",Advanced,Reading
STU00150,"Web Development, Data Science, Deep Learning",Advanced,practical
STU00151,Artificial Intelligence,Advanced,practical
STU00152,Software Development,Advanced,Reading
STU00153,"Deep Learning, Machine Learning, Web Development",Beginner,Reading
STU00154,"Artificial Intelligence, Deep Learning, Data Analytics",Advanced,Visual
STU00155,Data Science,Advanced,Visual
STU00156,Web Development,Beginner,Visual
STU00157,Software Development,Advanced,Visual
STU00158,"Deep Learning, Data Analytics, Machine Learning",Advanced,Reading
STU00159,Deep Learning,Beginner,practical
STU00160,"Cybersecurity, Web Development",Advanced,practical
STU00161,Cybersecurity,Beginner,Reading
STU00162,"Deep Learning, Cybersecurity, DevOps",Intermediate,practical
STU00163,"Machine Learning, Data Analytics",Intermediate,practical
STU00164,"Software Development, Cybersecurity, Python",Intermediate,practical
STU00165,"Software Development, Data Science, Web Development",Advanced,Visual
STU00166,"Machine Learning, Web Development",Beginner,practical
STU00167,"Machine Learning, Data Analytics",Beginner,Reading
STU00168,Software Development,Advanced,Reading
STU00169,"Web Development, Python, SQL",Intermediate,Reading
STU00170,Python,Advanced,practical
STU00171,"Data Science, Artificial Intelligence, Software Development",Advanced,practical
STU00172,"Cybersecurity, SQL",Advanced,Visual
STU00173,"Machine Learning, Python, SQL",Beginner,practical
STU00174,"Artificial Intelligence, Data Science",Intermediate,Visual
STU00175,"Data Science, Deep Learning",Beginner,practical
STU00176,Python,Intermediate,Visual
STU00177,"Software Development, Web Development, Cybersecurity",Beginner,practical
STU00178,Software Development,Beginner,practical
STU00179,"Artificial Intelligence, SQL",Beginner,Reading
STU00180,"Software Development, Cloud Computing",Advanced,Visual
STU00181,Software Development,Beginner,Reading
STU00182,"SQL, Artificial Intelligence",Intermediate,Reading
STU00183,Cybersecurity,Beginner,practical
STU00184,Python,Advanced,Visual
STU00185,"Data Analytics, Data Science",Advanced,Reading
STU00186,"Python, Deep Learning",Advanced,Reading
STU00187,"Software Development, Cloud Computing, Data Analytics",Advanced,Visual
STU00188,"Cybersecurity, Data Science",Beginner,Reading
STU00189,Web Development,Beginner,Visual
STU00190,"Data Analytics, Software Development, SQL",Intermediate,Reading
STU00191,"Cybersecurity, Cloud Computing",Advanced,practical
STU00192,"Software Development, Cybersecurity, Data Science",Intermediate,Reading
STU00193,Cloud Computing,Advanced,practical
STU00194,"Python, Web Development",Intermediate,Reading
STU00195,"Cloud Computing, Python",Advanced,practical
STU00196,"Deep Learning, Cybersecurity, Data Science",Intermediate,Visual
STU00197,"Machine Learning, SQL",Intermediate,Visual
STU00198,"SQL, DevOps, Data Analytics",Beginner,Visual
STU00199,"Cybersecurity, Data Analytics",Advanced,practical
STU00200,"Data Analytics, Cybersecurity",Beginner,practical
STU00201,Deep Learning,Advanced,practical
STU00202,"Artificial Intelligence, Python",Advanced,practical
STU00203,"SQL, Web Development, Data Analytics",Beginner,Reading
STU00204,Artificial Intelligence,Intermediate,Visual
STU00205,"DevOps, Python, Data Science",Intermediate,practical
STU00206,"Data Science, Web Development, Cybersecurity",Advanced,practical
STU00207,Python,Advanced,Reading
STU00208,"Machine Learning, SQL",Intermediate,Reading
STU00209,Deep Learning,Intermediate,Reading
STU00210,"Machine Learning, SQL, Cloud Computing",Advanced,Visual
STU00211,Artificial Intelligence,Intermediate,Reading
STU00212,Cybersecurity,Intermediate,Visual
STU00213,"Cybersecurity, DevOps",Intermediate,practical
STU00214,SQL,Advanced,Reading
STU00215,Software Development,Beginner,Reading
STU00216,"Cybersecurity, Data Analytics, Data Science",Intermediate,Visual
STU00217,"Cybersecurity, Python, Machine Learning",Advanced,Visual
STU00218,"Cybersecurity, SQL, Data Analytics",Intermediate,Reading
STU00219,"SQL, Artificial Intelligence, Software Development",Beginner,Reading
STU00220,"Web Development, Data Science",Advanced,Visual
STU00221,"Cloud Computing, DevOps, Python",Advanced,Reading
STU00222,"Cloud Computing, Artificial Intelligence",Beginner,Reading
STU00223,Machine Learning,Beginner,Visual
STU00224,Deep Learning,Intermediate,Reading
STU00225,"Software Development, Python, Deep Learning",Intermediate,Visual
STU00226,"Cybersecurity, Software Development",Beginner,Reading
STU00227,"Software Development, Artificial Intelligence",Beginner,practical
STU00228,DevOps,Intermediate,Reading
STU00229,"Software Development, Web Development",Intermediate,Reading
STU00230,Data Analytics,Advanced,practical
STU00231,"Python, Deep Learning",Advanced,Reading
STU00232,"Machine Learning, DevOps",Intermediate,Reading
STU00233,Artificial Intelligence,Intermediate,Visual
STU00234,"Software Development, SQL, Data Science",Advanced,Visual
STU00235,Data Science,Advanced,practical
STU00236,"Data Analytics, Python",Beginner,practical
STU00237,Python,Advanced,practical
STU00238,Data Science,Advanced,practical
STU00239,"Deep Learning, Cybersecurity, Data Analytics",Intermediate,practical
STU00240,"Cloud Computing, Cybersecurity",Beginner,Visual
STU00241,Web Development,Beginner,practical
STU00242,"Machine Learning, Python",Intermediate,Reading
STU00243,"SQL, Data Analytics",Intermediate,Reading
STU00244,"Data Science, Software Development, DevOps",Intermediate,practical
STU00245,Machine Learning,Advanced,Reading
STU00246,"Web Development, Python, Cloud Computing",Advanced,Visual
STU00247,SQL,Advanced,practical
STU00248,Python,Intermediate,Reading
STU00249,"Python, Data Analytics, Cloud Computing",Intermediate,practical
STU00250,"Data Science, SQL, Machine Learning",Beginner,Visual
STU00251,"DevOps, Deep Learning, Python",Advanced,Reading
STU00252,Data Analytics,Advanced,practical
STU00253,"Machine Learning, Cloud Computing",Intermediate,Visual
STU00254,Data Science,Advanced,Visual
STU00255,"DevOps, Deep Learning, Cloud Computing",Beginner,practical
STU00256,DevOps,Intermediate,Visual
STU00257,"Cybersecurity, SQL, Deep Learning",Intermediate,Visual
STU00258,"Deep Learning, Python",Advanced,Visual
STU00259,DevOps,Beginner,Reading
STU00260,"Artificial Intelligence, DevOps",Intermediate,Reading
STU00261,"Deep Learning, Cybersecurity",Intermediate,practical
STU00262,"Deep Learning, Cybersecurity",Beginner,Reading
STU00263,Cybersecurity,Intermediate,Reading
STU00264,"Data Science, Cloud Computing, SQL",Beginner,practical
STU00265,"DevOps, SQL, Cloud Computing",Beginner,Visual
STU00266,"Software Development, Artificial Intelligence",Advanced,practical
STU00267,"Web Development, Artificial Intelligence, SQL",Advanced,Reading
STU00268,Data Analytics,Intermediate,practical
STU00269,"Software Development, Cloud Computing",Advanced,Visual
STU00270,Cybersecurity,Intermediate,Reading
STU00271,"Artificial Intelligence, Cybersecurity",Advanced,Visual
STU00272,Deep Learning,Advanced,practical
STU00273,Software Development,Beginner,Reading
STU00274,"Artificial Intelligence, Web Development, Deep Learning",Intermediate,practical
STU00275,"Machine Learning, Cybersecurity, Web Development",Intermediate,Reading
STU00276,"Data Analytics, Machine Learning, Data Science",Advanced,practical
STU00277,"Machine Learning, Cloud Computing",Intermediate,Reading
STU00278,"Deep Learning, Machine Learning",Intermediate,practical
STU00279,"Cloud Computing, Software Development",Advanced,Reading
STU00280,Deep Learning,Intermediate,Reading
STU00281,"Cybersecurity, Artificial Intelligence, Software Development",Intermediate,Visual
STU00282,"Web Development, Cybersecurity",Advanced,practical
STU00283,Deep Learning,Intermediate,practical
STU00284,Web Development,Intermediate,Reading
STU00285,"Cybersecurity, Data Science, Data Analytics",Beginner,practical
STU00286,"Machine Learning, DevOps",Advanced,practical
STU00287,"Data Analytics, Python",Advanced,practical
STU00288,Web Development,Beginner,Reading
STU00289,Machine Learning,Advanced,Visual
STU00290,"Data Analytics, Cloud Computing, Cybersecurity",Advanced,Visual
STU00291,"Software Development, DevOps",Beginner,practical
STU00292,"Artificial Intelligence, Cybersecurity",Advanced,Reading
STU00293,"Machine Learning, Deep Learning, Python",Advanced,Visual
STU00294,"DevOps, Software Development, Artificial Intelligence",Intermediate,Visual
STU00295,"Web Development, Cloud Computing, Machine Learning",Beginner,Reading
STU00296,"Web Development, Artificial Intelligence",Intermediate,Reading
STU00297,Cybersecurity,Intermediate,Visual
STU00298,Deep Learning,Intermediate,practical
STU00299,"Artificial Intelligence, SQL, Python",Beginner,Reading
STU00300,"Software Development, Machine Learning, Cloud Computing",Beginner,Visual
STU00301,"Deep Learning, DevOps",Beginner,Visual
STU00302,Python,Advanced,Visual
STU00303,Data Science,Advanced,practical
STU00304,"Data Science, Cybersecurity, Software Development",Beginner,Reading
STU00305,Cloud Computing,Intermediate,Visual
STU00306,"Machine Learning, DevOps",Advanced,Visual
STU00307,"Deep Learning, Python, Cybersecurity",Advanced,Visual
STU00308,"Machine Learning, SQL",Advanced,practical
STU00309,"Machine Learning, Python",Advanced,practical
STU00310,"Cybersecurity, Deep Learning",Intermediate,Reading
STU00311,"Software Development, Artificial Intelligence, SQL",Beginner,Visual
STU00312,"DevOps, Software Development",Advanced,Reading
STU00313,Artificial Intelligence,Advanced,Visual
STU00314,"Artificial Intelligence, Web Development",Advanced,Visual
STU00315,"Machine Learning, Artificial Intelligence, Deep Learning",Beginner,Reading
STU00316,"Machine Learning, Data Science",Beginner,practical
STU00317,Artificial Intelligence,Intermediate,Reading
STU00318,"Cloud Computing, Deep Learning",Beginner,practical
STU00319,Cloud Computing,Intermediate,Visual
STU00320,SQL,Advanced,Reading
STU00321,DevOps,Beginner,Visual
STU00322,"SQL, Cloud Computing, Software Development",Intermediate,Reading
STU00323,"Machine Learning, Deep Learning, Cloud Computing",Advanced,Visual
STU00324,"Artificial Intelligence, SQL",Advanced,Visual
STU00325,"Deep Learning, Cloud Computing",Beginner,Reading
STU00326,"Cybersecurity, SQL, Python",Intermediate,Visual
STU00327,"Artificial Intelligence, Machine Learning, Python",Intermediate,practical
STU00328,"Software Development, Cybersecurity",Intermediate,Reading
STU00329,"SQL, Data Science",Advanced,Reading
STU00330,Python,Beginner,practical
STU00331,"Artificial Intelligence, DevOps",Advanced,Reading
STU00332,"Web Development, Data Science, Cloud Computing",Intermediate,Visual
STU00333,SQL,Intermediate,practical
STU00334,Cloud Computing,Intermediate,practical
STU00335,"Python, Artificial Intelligence, Web Development",Intermediate,practical
STU00336,"Machine Learning, SQL",Intermediate,Reading
STU00337,Cybersecurity,Beginner,practical
STU00338,"Cloud Computing, SQL",Intermediate,Visual
STU00339,"Software Development, DevOps",Intermediate,Visual
STU00340,"Web Development, Data Analytics",Advanced,Reading
STU00341,Artificial Intelligence,Intermediate,practical
STU00342,"Artificial Intelligence, SQL, Cybersecurity",Intermediate,practical
STU00343,"Software Development, Artificial Intelligence, Machine Learning",Advanced,practical
STU00344,"SQL, Artificial Intelligence",Beginner,Reading
STU00345,"Python, Web Development",Intermediate,Reading
STU00346,"Software Development, DevOps",Intermediate,practical
STU00347,"SQL, Software Development, Machine Learning",Advanced,Reading
STU00348,"Cybersecurity, Deep Learning, Cloud Computing",Beginner,Visual
STU00349,"SQL, Deep Learning",Beginner,Reading
STU00350,"SQL, Deep Learning, Cybersecurity",Advanced,Reading
STU00351,"Software Development, Deep Learning",Beginner,Reading
STU00352,"Data Science, Deep Learning",Intermediate,Visual
STU00353,Cloud Computing,Advanced,Reading
STU00354,"Data Science, Data Analytics, DevOps",Beginner,Reading
STU00355,"Cybersecurity, Machine Learning",Beginner,practical
STU00356,Deep Learning,Advanced,practical
STU00357,"Cybersecurity, Data Analytics, Python",Advanced,Reading
STU00358,"Data Science, Web Development, Cybersecurity",Beginner,Reading
STU00359,"Deep Learning, Data Analytics, SQL",Beginner,practical
STU00360,"Data Science, Software Development",Beginner,Reading
STU00361,"Data Analytics, Data Science, Artificial Intelligence",Beginner,practical
STU00362,SQL,Advanced,Reading
STU00363,Cybersecurity,Advanced,Visual
STU00364,SQL,Intermediate,Reading
STU00365,"Cloud Computing, Cybersecurity, SQL",Beginner,practical
STU00366,"Artificial Intelligence, Cybersecurity",Advanced,Reading
STU00367,"SQL, Data Science",Advanced,Visual
STU00368,"Cloud Computing, Cybersecurity",Intermediate,Visual
STU00369,"SQL, Data Analytics",Intermediate,practical
STU00370,Python,Advanced,Visual
STU00371,"Software Development, Data Science",Intermediate,Reading
STU00372,"Machine Learning, Data Analytics",Beginner,Reading
STU00373,"SQL, DevOps, Software Development",Beginner,Visual
STU00374,"Machine Learning, Cybersecurity, Python",Beginner,Reading
STU00375,"Data Science, Data Analytics, Deep Learning",Intermediate,practical
STU00376,"Deep Learning, Data Analytics, Artificial Intelligence",Intermediate,Reading
STU00377,Python,Advanced,Visual
STU00378,"Cybersecurity, Cloud Computing, Data Analytics",Intermediate,Reading
STU00379,"Software Development, Data Science",Beginner,Visual
STU00380,"Software Development, Machine Learning",Advanced,Reading
STU00381,"Cloud Computing, Data Science",Intermediate,Visual
STU00382,"Software Development, Web Development, Data Science",Beginner,Visual
STU00383,"Software Development, SQL",Intermediate,Reading
STU00384,"SQL, Deep Learning",Beginner,practical
STU00385,"Artificial Intelligence, Deep Learning",Beginner,Visual
STU00386,Data Analytics,Advanced,Reading
STU00387,"SQL, Software Development",Intermediate,Visual
STU00388,"Python, Machine Learning",Beginner,Visual
STU00389,"Artificial Intelligence, Data Analytics",Intermediate,Reading
STU00390,"Web Development, Software Development",Beginner,practical
STU00391,"Artificial Intelligence, Data Analytics",Intermediate,Reading
STU00392,"Machine Learning, Python",Advanced,Reading
STU00393,Artificial Intelligence,Intermediate,practical
STU00394,Software Development,Intermediate,practical
STU00395,"Deep Learning, SQL, Data Science",Advanced,Visual
STU00396,DevOps,Intermediate,Reading
STU00397,Artificial Intelligence,Intermediate,Reading
STU00398,"Software Development, Data Analytics, Artificial Intelligence",Advanced,Visual
STU00399,"Data Analytics, SQL, Data Science",Beginner,Reading
STU00400,"Data Analytics, Web Development, Cloud Computing",Advanced,Reading
STU00401,"Data Analytics, Data Science, Cybersecurity",Advanced,Visual
STU00402,DevOps,Intermediate,Visual
STU00403,"Data Science, Machine Learning, Web Development",Intermediate,practical
STU00404,Machine Learning,Advanced,Visual
STU00405,"Software Development, Machine Learning, Deep Learning",Beginner,Visual
STU00406,"SQL, Python",Advanced,practical
STU00407,"Software Development, Cloud Computing",Intermediate,Reading
STU00408,"Data Science, Web Development, Cybersecurity",Advanced,practical
STU00409,Python,Intermediate,Reading
STU00410,"DevOps, Artificial Intelligence, Data Analytics",Intermediate,practical
STU00411,"DevOps, Cybersecurity, Data Science",Beginner,Reading
STU00412,"Deep Learning, Artificial Intelligence, Python",Beginner,practical
STU00413,Python,Beginner,Reading
STU00414,"DevOps, Data Analytics",Advanced,Reading
STU00415,Cloud Computing,Advanced,Visual
STU00416,"Software Development, Artificial Intelligence, DevOps",Advanced,Reading
STU00417,Cybersecurity,Advanced,Visual
STU00418,"Data Analytics, SQL, Web Development",Intermediate,Visual
STU00419,"Artificial Intelligence, SQL",Beginner,practical
STU00420,Deep Learning,Beginner,practical
STU00421,Software Development,Beginner,Visual
STU00422,Machine Learning,Beginner,Visual
STU00423,Data Science,Advanced,Visual
STU00424,Machine Learning,Intermediate,Reading
STU00425,"Cloud Computing, Machine Learning, SQL",Advanced,Reading
STU00426,"Cybersecurity, Cloud Computing, Data Analytics",Advanced,Reading
STU00427,"Python, Deep Learning, Data Analytics",Beginner,Visual
STU00428,Web Development,Advanced,Reading
STU00429,"Cloud Computing, Cybersecurity",Beginner,Reading
STU00430,"Deep Learning, DevOps",Beginner,Visual
STU00431,"Artificial Intelligence, Data Science",Beginner,practical
STU00432,Cybersecurity,Beginner,Visual
STU00433,Web Development,Advanced,practical
STU00434,"Web Development, DevOps",Beginner,Reading
STU00435,"Data Analytics, Artificial Intelligence, Web Development",Advanced,Visual
STU00436,"Deep Learning, Web Development, Artificial Intelligence",Advanced,Visual
STU00437,"SQL, Deep Learning",Intermediate,Visual
STU00438,"Cybersecurity, Data Science",Beginner,Reading
STU00439,Software Development,Intermediate,Reading
STU00440,"Web Development, Software Development, Artificial Intelligence",Advanced,practical
STU00441,"Cloud Computing, Data Science, Cybersecurity",Advanced,Reading
STU00442,Data Analytics,Advanced,practical
STU00443,"Web Development, Artificial Intelligence",Intermediate,Reading
STU00444,"Data Science, Machine Learning, Python",Intermediate,Reading
STU00445,"Artificial Intelligence, Deep Learning, DevOps",Intermediate,Reading
STU00446,"Cloud Computing, Web Development",Beginner,Visual
STU00447,"DevOps, Cybersecurity, SQL",Beginner,Visual
STU00448,"Python, Software Development",Beginner,practical
STU00449,"Data Analytics, Data Science",Intermediate,Visual
STU00450,"Cybersecurity, Web Development",Intermediate,Visual
STU00451,"Machine Learning, Deep Learning",Intermediate,practical
STU00452,DevOps,Beginner,Visual
STU00453,"Data Science, Machine Learning",Advanced,Reading
STU00454,"Data Science, Cybersecurity, Software Development",Beginner,Visual
STU00455,"Artificial Intelligence, Deep Learning, Cloud Computing",Advanced,practical
STU00456,"Cybersecurity, SQL, Deep Learning",Beginner,practical
STU00457,DevOps,Advanced,Reading
STU00458,"Cloud Computing, Data Analytics",Beginner,Reading
STU00459,"Python, Cloud Computing, DevOps",Advanced,Visual
STU00460,Data Analytics,Intermediate,practical
STU00461,"Data Analytics, Web Development",Intermediate,Visual
STU00462,SQL,Intermediate,Visual
STU00463,"Deep Learning, Cybersecurity, Artificial Intelligence",Intermediate,Reading
STU00464,Data Science,Advanced,Visual
STU00465,"Deep Learning, Artificial Intelligence, SQL",Intermediate,Visual
STU00466,Deep Learning,Beginner,practical
STU00467,SQL,Beginner,practical
STU00468,Data Analytics,Intermediate,Visual
STU00469,"Artificial Intelligence, Data Science, Software Development",Advanced,practical
STU00470,"Machine Learning, Data Analytics",Intermediate,practical
STU00471,Software Development,Beginner,practical
STU00472,Deep Learning,Intermediate,practical
STU00473,"DevOps, Data Analytics",Intermediate,Visual
STU00474,"Machine Learning, Deep Learning",Advanced,practical
STU00475,"DevOps, Web Development, Cybersecurity",Intermediate,practical
STU00476,"DevOps, Cybersecurity",Advanced,practical
STU00477,"Web Development, SQL, Cloud Computing",Intermediate,practical
STU00478,"Web Development, SQL, Python",Advanced,Visual
STU00479,SQL,Beginner,practical
STU00480,Python,Advanced,practical
STU00481,DevOps,Beginner,Visual
STU00482,"Deep Learning, Python",Intermediate,Visual
STU00483,Machine Learning,Intermediate,practical
STU00484,DevOps,Advanced,Visual
STU00485,"Software Development, Data Analytics, Cybersecurity",Advanced,Visual
STU00486,"Deep Learning, DevOps, Python",Advanced,Reading
STU00487,Cloud Computing,Advanced,practical
STU00488,"Data Analytics, Data Science",Beginner,practical
STU00489,Web Development,Beginner,practical
STU00490,Cloud Computing,Advanced,practical
STU00491,"Machine Learning, Cloud Computing",Advanced,Reading
STU00492,Data Analytics,Beginner,Reading
STU00493,Python,Advanced,Visual
STU00494,"Data Science, Software Development",Beginner,Visual
STU00495,"Data Science, DevOps",Advanced,practical
STU00496,"Artificial Intelligence, Python",Intermediate,Visual
STU00497,"Python, DevOps",Advanced,Visual
STU00498,"Data Science, Machine Learning, Deep Learning",Intermediate,practical
STU00499,Software Development,Intermediate,Visual
STU00500,Cybersecurity,Advanced,practical
STU00501,"Deep Learning, Cloud Computing, DevOps",Intermediate,Reading
STU00502,"Data Science, Cloud Computing",Advanced,practical
STU00503,"Artificial Intelligence, DevOps",Beginner,practical
STU00504,Machine Learning,Advanced,practical
STU00505,"DevOps, Artificial Intelligence",Beginner,Reading
STU00506,"Cloud Computing, Cybersecurity",Intermediate,Visual
STU00507,"Cloud Computing, Python, DevOps",Intermediate,practical
STU00508,"Data Analytics, Software Development, DevOps",Beginner,Reading
STU00509,"Python, SQL",Beginner,practical
STU00510,Data Science,Advanced,practical
STU00511,"Software Development, DevOps, Python",Advanced,Visual
STU00512,"Software Development, Artificial Intelligence, DevOps",Intermediate,practical
STU00513,"Software Development, Data Analytics, Deep Learning",Advanced,practical
