course_id,course_name,category,difficulty_level,description,prerequisites
CRS00063,Introduction to Artificial Intelligence,Artificial Intelligence,Beginner,This Beginner course teaches Artificial Intelligence concepts and practical skills.,
CRS00064,Getting Started with Cloud Computing,Cloud Computing,Beginner,This Beginner course teaches Cloud Computing concepts and practical skills.,
CRS00065,DevOps Fundamentals,DevOps,Beginner,This Beginner course teaches DevOps concepts and practical skills.,
CRS00066,Cybersecurity Fundamentals,Cybersecurity,Beginner,This Beginner course teaches Cybersecurity concepts and practical skills.,
CRS00067,Data Science Fundamentals,Data Science,Beginner,This Beginner course teaches Data Science concepts and practical skills.,
CRS00068,Getting Started with Deep Learning,Deep Learning,Beginner,This Beginner course teaches Deep Learning concepts and practical skills.,
CRS00069,Introduction to Data Science,Data Science,Beginner,This Beginner course teaches Data Science concepts and practical skills.,
CRS00070,Introduction to Software Development,Software Development,Beginner,This Beginner course teaches Software Development concepts and practical skills.,
CRS00071,Introduction to Web Development,Web Development,Beginner,This Beginner course teaches Web Development concepts and practical skills.,
CRS00072,Software Development Fundamentals,Software Development,Beginner,This Beginner course teaches Software Development concepts and practical skills.,
CRS00073,Python Fundamentals,Python,Beginner,This Beginner course teaches Python concepts and practical skills.,
CRS00074,Introduction to Cybersecurity,Cybersecurity,Beginner,This Beginner course teaches Cybersecurity concepts and practical skills.,
CRS00075,Getting Started with Data Science,Data Science,Beginner,This Beginner course teaches Data Science concepts and practical skills.,
CRS00076,Getting Started with Data Analytics,Data Analytics,Beginner,This Beginner course teaches Data Analytics concepts and practical skills.,
CRS00077,Introduction to SQL,SQL,Beginner,This Beginner course teaches SQL concepts and practical skills.,
CRS00078,Getting Started with Software Development,Software Development,Beginner,This Beginner course teaches Software Development concepts and practical skills.,
CRS00079,Introduction to Cloud Computing,Cloud Computing,Beginner,This Beginner course teaches Cloud Computing concepts and practical skills.,
CRS00080,DevOps Fundamentals,DevOps,Beginner,This Beginner course teaches DevOps concepts and practical skills.,
CRS00081,Introduction to Cloud Computing,Cloud Computing,Beginner,This Beginner course teaches Cloud Computing concepts and practical skills.,
CRS00082,Getting Started with Data Science,Data Science,Beginner,This Beginner course teaches Data Science concepts and practical skills.,
CRS00083,Data Science Fundamentals,Data Science,Beginner,This Beginner course teaches Data Science concepts and practical skills.,
CRS00084,Getting Started with Artificial Intelligence,Artificial Intelligence,Beginner,This Beginner course teaches Artificial Intelligence concepts and practical skills.,
CRS00085,Cloud Computing Fundamentals,Cloud Computing,Beginner,This Beginner course teaches Cloud Computing concepts and practical skills.,
CRS00086,Cloud Computing Fundamentals,Cloud Computing,Beginner,This Beginner course teaches Cloud Computing concepts and practical skills.,
CRS00087,Cybersecurity Fundamentals,Cybersecurity,Beginner,This Beginner course teaches Cybersecurity concepts and practical skills.,
CRS00088,Artificial Intelligence Fundamentals,Artificial Intelligence,Beginner,This Beginner course teaches Artificial Intelligence concepts and practical skills.,
CRS00089,Introduction to Data Analytics,Data Analytics,Beginner,This Beginner course teaches Data Analytics concepts and practical skills.,
CRS00090,Introduction to SQL,SQL,Beginner,This Beginner course teaches SQL concepts and practical skills.,
CRS00091,Introduction to SQL,SQL,Beginner,This Beginner course teaches SQL concepts and practical skills.,
CRS00092,Introduction to DevOps,DevOps,Beginner,This Beginner course teaches DevOps concepts and practical skills.,
CRS00093,Introduction to Cybersecurity,Cybersecurity,Beginner,This Beginner course teaches Cybersecurity concepts and practical skills.,
CRS00094,Cybersecurity Fundamentals,Cybersecurity,Beginner,This Beginner course teaches Cybersecurity concepts and practical skills.,
CRS00095,Cloud Computing Fundamentals,Cloud Computing,Beginner,This Beginner course teaches Cloud Computing concepts and practical skills.,
CRS00096,Software Development Fundamentals,Software Development,Beginner,This Beginner course teaches Software Development concepts and practical skills.,
CRS00097,Getting Started with DevOps,DevOps,Beginner,This Beginner course teaches DevOps concepts and practical skills.,
CRS00098,Artificial Intelligence Fundamentals,Artificial Intelligence,Beginner,This Beginner course teaches Artificial Intelligence concepts and practical skills.,
CRS00099,Introduction to Deep Learning,Deep Learning,Beginner,This Beginner course teaches Deep Learning concepts and practical skills.,
CRS00100,Introduction to Machine Learning,Machine Learning,Beginner,This Beginner course teaches Machine Learning concepts and practical skills.,
CRS00101,Python Fundamentals,Python,Beginner,This Beginner course teaches Python concepts and practical skills.,
CRS00102,Getting Started with Data Science,Data Science,Beginner,This Beginner course teaches Data Science concepts and practical skills.,
CRS00103,Introduction to Cloud Computing,Cloud Computing,Beginner,This Beginner course teaches Cloud Computing concepts and practical skills.,
CRS00104,Getting Started with Cybersecurity,Cybersecurity,Beginner,This Beginner course teaches Cybersecurity concepts and practical skills.,
CRS00105,Software Development Fundamentals,Software Development,Beginner,This Beginner course teaches Software Development concepts and practical skills.,
CRS00106,Getting Started with Deep Learning,Deep Learning,Beginner,This Beginner course teaches Deep Learning concepts and practical skills.,
CRS00107,Introduction to SQL,SQL,Beginner,This Beginner course teaches SQL concepts and practical skills.,
CRS00108,Introduction to Cybersecurity,Cybersecurity,Beginner,This Beginner course teaches Cybersecurity concepts and practical skills.,
CRS00109,Getting Started with Python,Python,Beginner,This Beginner course teaches Python concepts and practical skills.,
CRS00110,Cloud Computing Fundamentals,Cloud Computing,Beginner,This Beginner course teaches Cloud Computing concepts and practical skills.,
CRS00111,Introduction to SQL,SQL,Beginner,This Beginner course teaches SQL concepts and practical skills.,
CRS00112,Data Science Fundamentals,Data Science,Beginner,This Beginner course teaches Data Science concepts and practical skills.,
CRS00113,Introduction to Cybersecurity,Cybersecurity,Beginner,This Beginner course teaches Cybersecurity concepts and practical skills.,
CRS00114,Getting Started with DevOps,DevOps,Beginner,This Beginner course teaches DevOps concepts and practical skills.,
CRS00115,Getting Started with Software Development,Software Development,Beginner,This Beginner course teaches Software Development concepts and practical skills.,
CRS00116,Cloud Computing Fundamentals,Cloud Computing,Beginner,This Beginner course teaches Cloud Computing concepts and practical skills.,
CRS00117,Introduction to Python,Python,Beginner,This Beginner course teaches Python concepts and practical skills.,
CRS00118,Introduction to Software Development,Software Development,Beginner,This Beginner course teaches Software Development concepts and practical skills.,
CRS00119,Getting Started with Machine Learning,Machine Learning,Beginner,This Beginner course teaches Machine Learning concepts and practical skills.,
CRS00120,Introduction to Data Analytics,Data Analytics,Beginner,This Beginner course teaches Data Analytics concepts and practical skills.,
CRS00121,Artificial Intelligence Fundamentals,Artificial Intelligence,Beginner,This Beginner course teaches Artificial Intelligence concepts and practical skills.,
CRS00122,Getting Started with Cloud Computing,Cloud Computing,Beginner,This Beginner course teaches Cloud Computing concepts and practical skills.,
CRS00123,Introduction to Data Science,Data Science,Beginner,This Beginner course teaches Data Science concepts and practical skills.,
CRS00124,SQL Fundamentals,SQL,Beginner,This Beginner course teaches SQL concepts and practical skills.,
CRS00125,Getting Started with Web Development,Web Development,Beginner,This Beginner course teaches Web Development concepts and practical skills.,
CRS00126,SQL Fundamentals,SQL,Beginner,This Beginner course teaches SQL concepts and practical skills.,
CRS00127,Getting Started with Machine Learning,Machine Learning,Beginner,This Beginner course teaches Machine Learning concepts and practical skills.,
CRS00128,Getting Started with Data Science,Data Science,Beginner,This Beginner course teaches Data Science concepts and practical skills.,
CRS00129,Introduction to Machine Learning,Machine Learning,Beginner,This Beginner course teaches Machine Learning concepts and practical skills.,
CRS00130,Getting Started with Machine Learning,Machine Learning,Beginner,This Beginner course teaches Machine Learning concepts and practical skills.,
CRS00131,Getting Started with Machine Learning,Machine Learning,Beginner,This Beginner course teaches Machine Learning concepts and practical skills.,
CRS00132,Introduction to DevOps,DevOps,Beginner,This Beginner course teaches DevOps concepts and practical skills.,
CRS00133,Getting Started with DevOps,DevOps,Beginner,This Beginner course teaches DevOps concepts and practical skills.,
CRS00134,Introduction to Python,Python,Beginner,This Beginner course teaches Python concepts and practical skills.,
CRS00135,DevOps Fundamentals,DevOps,Beginner,This Beginner course teaches DevOps concepts and practical skills.,
CRS00136,Machine Learning Fundamentals,Machine Learning,Beginner,This Beginner course teaches Machine Learning concepts and practical skills.,
CRS00137,Introduction to Software Development,Software Development,Beginner,This Beginner course teaches Software Development concepts and practical skills.,
CRS00138,Artificial Intelligence Fundamentals,Artificial Intelligence,Beginner,This Beginner course teaches Artificial Intelligence concepts and practical skills.,
CRS00139,Web Development Fundamentals,Web Development,Beginner,This Beginner course teaches Web Development concepts and practical skills.,
CRS00140,Introduction to Deep Learning,Deep Learning,Beginner,This Beginner course teaches Deep Learning concepts and practical skills.,
CRS00141,DevOps Fundamentals,DevOps,Beginner,This Beginner course teaches DevOps concepts and practical skills.,
CRS00142,Getting Started with Artificial Intelligence,Artificial Intelligence,Beginner,This Beginner course teaches Artificial Intelligence concepts and practical skills.,
CRS00143,Introduction to Python,Python,Beginner,This Beginner course teaches Python concepts and practical skills.,
CRS00144,Getting Started with Cybersecurity,Cybersecurity,Beginner,This Beginner course teaches Cybersecurity concepts and practical skills.,
CRS00145,Introduction to Software Development,Software Development,Beginner,This Beginner course teaches Software Development concepts and practical skills.,
CRS00146,Cybersecurity Fundamentals,Cybersecurity,Beginner,This Beginner course teaches Cybersecurity concepts and practical skills.,
CRS00147,Introduction to Deep Learning,Deep Learning,Beginner,This Beginner course teaches Deep Learning concepts and practical skills.,
CRS00148,Introduction to Data Analytics,Data Analytics,Beginner,This Beginner course teaches Data Analytics concepts and practical skills.,
CRS00149,Cybersecurity Fundamentals,Cybersecurity,Beginner,This Beginner course teaches Cybersecurity concepts and practical skills.,
CRS00150,Machine Learning Fundamentals,Machine Learning,Beginner,This Beginner course teaches Machine Learning concepts and practical skills.,
CRS00151,Web Development Fundamentals,Web Development,Beginner,This Beginner course teaches Web Development concepts and practical skills.,
CRS00152,Getting Started with Deep Learning,Deep Learning,Beginner,This Beginner course teaches Deep Learning concepts and practical skills.,
CRS00153,Introduction to Artificial Intelligence,Artificial Intelligence,Beginner,This Beginner course teaches Artificial Intelligence concepts and practical skills.,
CRS00154,Introduction to Web Development,Web Development,Beginner,This Beginner course teaches Web Development concepts and practical skills.,
CRS00155,Getting Started with Data Analytics,Data Analytics,Beginner,This Beginner course teaches Data Analytics concepts and practical skills.,
CRS00156,Introduction to Cloud Computing,Cloud Computing,Beginner,This Beginner course teaches Cloud Computing concepts and practical skills.,
CRS00157,Getting Started with Deep Learning,Deep Learning,Beginner,This Beginner course teaches Deep Learning concepts and practical skills.,
CRS00158,Getting Started with Data Analytics,Data Analytics,Beginner,This Beginner course teaches Data Analytics concepts and practical skills.,
CRS00159,Introduction to Machine Learning,Machine Learning,Beginner,This Beginner course teaches Machine Learning concepts and practical skills.,
CRS00160,Introduction to Machine Learning,Machine Learning,Beginner,This Beginner course teaches Machine Learning concepts and practical skills.,
CRS00161,Introduction to DevOps,DevOps,Beginner,This Beginner course teaches DevOps concepts and practical skills.,
CRS00162,Introduction to Web Development,Web Development,Beginner,This Beginner course teaches Web Development concepts and practical skills.,
CRS00163,Getting Started with Cloud Computing,Cloud Computing,Beginner,This Beginner course teaches Cloud Computing concepts and practical skills.,
CRS00164,Introduction to SQL,SQL,Beginner,This Beginner course teaches SQL concepts and practical skills.,
CRS00165,Getting Started with Web Development,Web Development,Beginner,This Beginner course teaches Web Development concepts and practical skills.,
CRS00166,Introduction to Deep Learning,Deep Learning,Beginner,This Beginner course teaches Deep Learning concepts and practical skills.,
CRS00167,Introduction to SQL,SQL,Beginner,This Beginner course teaches SQL concepts and practical skills.,
CRS00168,Introduction to Software Development,Software Development,Beginner,This Beginner course teaches Software Development concepts and practical skills.,
CRS00169,Introduction to Data Science,Data Science,Beginner,This Beginner course teaches Data Science concepts and practical skills.,
CRS00170,Getting Started with Deep Learning,Deep Learning,Beginner,This Beginner course teaches Deep Learning concepts and practical skills.,
CRS00171,Intermediate Machine Learning,Machine Learning,Intermediate,This Intermediate course teaches Machine Learning concepts and practical skills.,CRS00160
CRS00172,Machine Learning in Practice,Machine Learning,Intermediate,This Intermediate course teaches Machine Learning concepts and practical skills.,CRS00160
CRS00173,Applied Software Development,Software Development,Intermediate,This Intermediate course teaches Software Development concepts and practical skills.,CRS00168
CRS00174,Intermediate Artificial Intelligence,Artificial Intelligence,Intermediate,This Intermediate course teaches Artificial Intelligence concepts and practical skills.,CRS00153
CRS00175,Data Science in Practice,Data Science,Intermediate,This Intermediate course teaches Data Science concepts and practical skills.,CRS00169
CRS00176,Machine Learning in Practice,Machine Learning,Intermediate,This Intermediate course teaches Machine Learning concepts and practical skills.,CRS00160
CRS00177,Python in Practice,Python,Intermediate,This Intermediate course teaches Python concepts and practical skills.,CRS00143
CRS00178,Machine Learning in Practice,Machine Learning,Intermediate,This Intermediate course teaches Machine Learning concepts and practical skills.,CRS00160
CRS00179,Applied SQL,SQL,Intermediate,This Intermediate course teaches SQL concepts and practical skills.,CRS00167
CRS00180,Intermediate Web Development,Web Development,Intermediate,This Intermediate course teaches Web Development concepts and practical skills.,CRS00165
CRS00181,Intermediate Cloud Computing,Cloud Computing,Intermediate,This Intermediate course teaches Cloud Computing concepts and practical skills.,CRS00163
CRS00182,Intermediate Machine Learning,Machine Learning,Intermediate,This Intermediate course teaches Machine Learning concepts and practical skills.,CRS00160
CRS00183,Intermediate Python,Python,Intermediate,This Intermediate course teaches Python concepts and practical skills.,CRS00143
CRS00184,Intermediate Data Science,Data Science,Intermediate,This Intermediate course teaches Data Science concepts and practical skills.,CRS00169
CRS00185,DevOps in Practice,DevOps,Intermediate,This Intermediate course teaches DevOps concepts and practical skills.,CRS00161
CRS00186,Applied Cloud Computing,Cloud Computing,Intermediate,This Intermediate course teaches Cloud Computing concepts and practical skills.,CRS00163
CRS00187,Applied Machine Learning,Machine Learning,Intermediate,This Intermediate course teaches Machine Learning concepts and practical skills.,CRS00160
CRS00188,Applied Cybersecurity,Cybersecurity,Intermediate,This Intermediate course teaches Cybersecurity concepts and practical skills.,CRS00149
CRS00189,Applied Software Development,Software Development,Intermediate,This Intermediate course teaches Software Development concepts and practical skills.,CRS00168
CRS00190,Artificial Intelligence in Practice,Artificial Intelligence,Intermediate,This Intermediate course teaches Artificial Intelligence concepts and practical skills.,CRS00153
CRS00191,Applied Cybersecurity,Cybersecurity,Intermediate,This Intermediate course teaches Cybersecurity concepts and practical skills.,CRS00149
CRS00192,Python in Practice,Python,Intermediate,This Intermediate course teaches Python concepts and practical skills.,CRS00143
CRS00193,Intermediate Web Development,Web Development,Intermediate,This Intermediate course teaches Web Development concepts and practical skills.,CRS00165
CRS00194,Web Development in Practice,Web Development,Intermediate,This Intermediate course teaches Web Development concepts and practical skills.,CRS00165
CRS00195,Cloud Computing in Practice,Cloud Computing,Intermediate,This Intermediate course teaches Cloud Computing concepts and practical skills.,CRS00163
CRS00196,Intermediate Web Development,Web Development,Intermediate,This Intermediate course teaches Web Development concepts and practical skills.,CRS00165
CRS00197,Intermediate Software Development,Software Development,Intermediate,This Intermediate course teaches Software Development concepts and practical skills.,CRS00168
CRS00198,Intermediate Cybersecurity,Cybersecurity,Intermediate,This Intermediate course teaches Cybersecurity concepts and practical skills.,CRS00149
CRS00199,Intermediate Python,Python,Intermediate,This Intermediate course teaches Python concepts and practical skills.,CRS00143
CRS00200,Intermediate Software Development,Software Development,Intermediate,This Intermediate course teaches Software Development concepts and practical skills.,CRS00168
CRS00201,Intermediate DevOps,DevOps,Intermediate,This Intermediate course teaches DevOps concepts and practical skills.,CRS00161
CRS00202,Cloud Computing in Practice,Cloud Computing,Intermediate,This Intermediate course teaches Cloud Computing concepts and practical skills.,CRS00163
CRS00203,Intermediate Machine Learning,Machine Learning,Intermediate,This Intermediate course teaches Machine Learning concepts and practical skills.,CRS00160
CRS00204,Applied SQL,SQL,Intermediate,This Intermediate course teaches SQL concepts and practical skills.,CRS00167
CRS00205,Intermediate Data Science,Data Science,Intermediate,This Intermediate course teaches Data Science concepts and practical skills.,CRS00169
CRS00206,Intermediate SQL,SQL,Intermediate,This Intermediate course teaches SQL concepts and practical skills.,CRS00167
CRS00207,Intermediate Python,Python,Intermediate,This Intermediate course teaches Python concepts and practical skills.,CRS00143
CRS00208,Applied Cloud Computing,Cloud Computing,Intermediate,This Intermediate course teaches Cloud Computing concepts and practical skills.,CRS00163
CRS00209,Intermediate SQL,SQL,Intermediate,This Intermediate course teaches SQL concepts and practical skills.,CRS00167
CRS00210,Intermediate Deep Learning,Deep Learning,Intermediate,This Intermediate course teaches Deep Learning concepts and practical skills.,CRS00170
CRS00211,Intermediate Data Science,Data Science,Intermediate,This Intermediate course teaches Data Science concepts and practical skills.,CRS00169
CRS00212,Applied Data Analytics,Data Analytics,Intermediate,This Intermediate course teaches Data Analytics concepts and practical skills.,CRS00158
CRS00213,Applied SQL,SQL,Intermediate,This Intermediate course teaches SQL concepts and practical skills.,CRS00167
CRS00214,Intermediate Data Analytics,Data Analytics,Intermediate,This Intermediate course teaches Data Analytics concepts and practical skills.,CRS00158
CRS00215,Intermediate Software Development,Software Development,Intermediate,This Intermediate course teaches Software Development concepts and practical skills.,CRS00168
CRS00216,Data Science in Practice,Data Science,Intermediate,This Intermediate course teaches Data Science concepts and practical skills.,CRS00169
CRS00217,Intermediate Data Analytics,Data Analytics,Intermediate,This Intermediate course teaches Data Analytics concepts and practical skills.,CRS00158
CRS00218,Data Science in Practice,Data Science,Intermediate,This Intermediate course teaches Data Science concepts and practical skills.,CRS00169
CRS00219,Software Development in Practice,Software Development,Intermediate,This Intermediate course teaches Software Development concepts and practical skills.,CRS00168
CRS00220,Data Analytics in Practice,Data Analytics,Intermediate,This Intermediate course teaches Data Analytics concepts and practical skills.,CRS00158
CRS00221,Applied Software Development,Software Development,Intermediate,This Intermediate course teaches Software Development concepts and practical skills.,CRS00168
CRS00222,Intermediate Deep Learning,Deep Learning,Intermediate,This Intermediate course teaches Deep Learning concepts and practical skills.,CRS00170
CRS00223,Applied DevOps,DevOps,Intermediate,This Intermediate course teaches DevOps concepts and practical skills.,CRS00161
CRS00224,Applied Web Development,Web Development,Intermediate,This Intermediate course teaches Web Development concepts and practical skills.,CRS00165
CRS00225,Intermediate Data Analytics,Data Analytics,Intermediate,This Intermediate course teaches Data Analytics concepts and practical skills.,CRS00158
CRS00226,Data Analytics in Practice,Data Analytics,Intermediate,This Intermediate course teaches Data Analytics concepts and practical skills.,CRS00158
CRS00227,Intermediate Artificial Intelligence,Artificial Intelligence,Intermediate,This Intermediate course teaches Artificial Intelligence concepts and practical skills.,CRS00153
CRS00228,Applied SQL,SQL,Intermediate,This Intermediate course teaches SQL concepts and practical skills.,CRS00167
CRS00229,Intermediate Software Development,Software Development,Intermediate,This Intermediate course teaches Software Development concepts and practical skills.,CRS00168
CRS00230,SQL in Practice,SQL,Intermediate,This Intermediate course teaches SQL concepts and practical skills.,CRS00167
CRS00231,Applied DevOps,DevOps,Intermediate,This Intermediate course teaches DevOps concepts and practical skills.,CRS00161
CRS00232,Data Analytics in Practice,Data Analytics,Intermediate,This Intermediate course teaches Data Analytics concepts and practical skills.,CRS00158
CRS00233,Applied Data Analytics,Data Analytics,Intermediate,This Intermediate course teaches Data Analytics concepts and practical skills.,CRS00158
CRS00234,Applied Data Science,Data Science,Intermediate,This Intermediate course teaches Data Science concepts and practical skills.,CRS00169
CRS00235,Data Science in Practice,Data Science,Intermediate,This Intermediate course teaches Data Science concepts and practical skills.,CRS00169
CRS00236,Applied DevOps,DevOps,Intermediate,This Intermediate course teaches DevOps concepts and practical skills.,CRS00161
CRS00237,Applied DevOps,DevOps,Intermediate,This Intermediate course teaches DevOps concepts and practical skills.,CRS00161
CRS00238,Artificial Intelligence in Practice,Artificial Intelligence,Intermediate,This Intermediate course teaches Artificial Intelligence concepts and practical skills.,CRS00153
CRS00239,Intermediate Artificial Intelligence,Artificial Intelligence,Intermediate,This Intermediate course teaches Artificial Intelligence concepts and practical skills.,CRS00153
CRS00240,Web Development in Practice,Web Development,Intermediate,This Intermediate course teaches Web Development concepts and practical skills.,CRS00165
CRS00241,Machine Learning in Practice,Machine Learning,Intermediate,This Intermediate course teaches Machine Learning concepts and practical skills.,CRS00160
CRS00242,Intermediate SQL,SQL,Intermediate,This Intermediate course teaches SQL concepts and practical skills.,CRS00167
CRS00243,Applied Web Development,Web Development,Intermediate,This Intermediate course teaches Web Development concepts and practical skills.,CRS00165
CRS00244,Data Analytics in Practice,Data Analytics,Intermediate,This Intermediate course teaches Data Analytics concepts and practical skills.,CRS00158
CRS00245,Applied Cloud Computing,Cloud Computing,Intermediate,This Intermediate course teaches Cloud Computing concepts and practical skills.,CRS00163
CRS00246,Applied Python,Python,Intermediate,This Intermediate course teaches Python concepts and practical skills.,CRS00143
CRS00247,Applied Data Science,Data Science,Intermediate,This Intermediate course teaches Data Science concepts and practical skills.,CRS00169
CRS00248,Intermediate Python,Python,Intermediate,This Intermediate course teaches Python concepts and practical skills.,CRS00143
CRS00249,Cybersecurity in Practice,Cybersecurity,Intermediate,This Intermediate course teaches Cybersecurity concepts and practical skills.,CRS00149
CRS00250,Applied Artificial Intelligence,Artificial Intelligence,Intermediate,This Intermediate course teaches Artificial Intelligence concepts and practical skills.,CRS00153
