student_id,interests,experience_level,learning_mode,experience_level_encoded
STU00267,"DevOps, Software Development",Beginner,Reading,0
STU00268,"Data Analytics, Cybersecurity, Software Development",Beginner,Visual,0
STU00269,"Data Analytics, DevOps",Advanced,practical,2
STU00270,"Python, Cloud Computing",Beginner,Visual,0
STU00271,Data Science,Intermediate,Visual,1
STU00272,"Data Analytics, Web Development",Advanced,Reading,2
STU00273,"Deep Learning, Web Development",Beginner,Reading,0
STU00274,Data Analytics,Advanced,practical,2
STU00275,"Cloud Computing, Machine Learning, Deep Learning",Advanced,Reading,2
STU00276,"Data Science, Cloud Computing",Beginner,practical,0
STU00277,"Artificial Intelligence, DevOps, Machine Learning",Intermediate,Visual,1
STU00278,DevOps,Advanced,Reading,2
STU00279,Deep Learning,Beginner,practical,0
STU00280,"Deep Learning, SQL, Data Analytics",Intermediate,Reading,1
STU00281,Web Development,Advanced,Reading,2
STU00282,"Cybersecurity, Deep Learning, Cloud Computing",Intermediate,practical,1
STU00283,Artificial Intelligence,Intermediate,Reading,1
STU00284,"Web Development, Data Analytics, SQL",Intermediate,Visual,1
STU00285,Python,Advanced,Visual,2
STU00286,"Python, DevOps, Machine Learning",Beginner,practical,0
STU00287,Deep Learning,Beginner,practical,0
STU00288,"Web Development, Data Analytics",Beginner,Reading,0
STU00289,Machine Learning,Intermediate,Visual,1
STU00290,"Deep Learning, Data Analytics",Intermediate,Reading,1
STU00291,Machine Learning,Advanced,practical,2
STU00292,Cloud Computing,Beginner,practical,0
STU00293,Software Development,Intermediate,practical,1
STU00294,"DevOps, Cloud Computing",Intermediate,practical,1
STU00295,"Cybersecurity, Machine Learning",Intermediate,Reading,1
STU00296,"SQL, DevOps",Beginner,Visual,0
STU00297,Deep Learning,Advanced,Reading,2
STU00298,"Artificial Intelligence, SQL",Beginner,Visual,0
STU00299,"Deep Learning, Software Development, Machine Learning",Beginner,Reading,0
STU00300,"Data Analytics, Deep Learning, Cloud Computing",Beginner,practical,0
STU00301,"Web Development, Data Analytics, Cloud Computing",Intermediate,Visual,1
STU00302,"Data Science, DevOps",Intermediate,Visual,1
STU00303,"Data Science, Artificial Intelligence",Beginner,practical,0
STU00304,"Web Development, DevOps, Python",Advanced,Reading,2
STU00305,"Software Development, Data Analytics",Beginner,Visual,0
STU00306,"Machine Learning, Python",Advanced,practical,2
STU00307,"Web Development, DevOps",Advanced,practical,2
STU00308,"Data Science, Cybersecurity",Beginner,practical,0
STU00309,Data Science,Intermediate,practical,1
STU00310,"DevOps, Software Development",Beginner,practical,0
STU00311,"DevOps, Python",Advanced,Visual,2
STU00312,"Cloud Computing, Software Development, Data Analytics",Advanced,practical,2
STU00313,"Python, DevOps, Cloud Computing",Beginner,practical,0
STU00314,"Web Development, Data Science, Deep Learning",Intermediate,Visual,1
STU00315,"Cloud Computing, Data Science",Advanced,Reading,2
STU00316,"Cybersecurity, Data Science, Web Development",Intermediate,Visual,1
STU00317,"Web Development, Cybersecurity",Advanced,Visual,2
STU00318,Web Development,Beginner,practical,0
STU00319,"Data Analytics, SQL, Software Development",Intermediate,Reading,1
STU00320,"Web Development, Artificial Intelligence, Python",Advanced,practical,2
STU00321,"Cloud Computing, DevOps",Advanced,Reading,2
STU00322,"Data Analytics, Cloud Computing",Beginner,practical,0
STU00323,DevOps,Advanced,Reading,2
STU00324,Web Development,Beginner,practical,0
STU00325,Software Development,Beginner,practical,0
STU00326,Cybersecurity,Intermediate,Reading,1
STU00327,"DevOps, Data Analytics",Intermediate,Reading,1
STU00328,"Machine Learning, Deep Learning, Data Analytics",Intermediate,Reading,1
STU00329,"Data Science, SQL",Advanced,Visual,2
STU00330,Data Analytics,Beginner,Visual,0
STU00331,"Python, Software Development",Advanced,Reading,2
STU00332,"Deep Learning, Artificial Intelligence",Beginner,Reading,0
STU00333,"SQL, Data Science, Data Analytics",Advanced,Visual,2
STU00334,"Data Science, Artificial Intelligence",Advanced,practical,2
STU00335,"DevOps, Software Development",Beginner,Reading,0
STU00336,"Cybersecurity, SQL, DevOps",Intermediate,practical,1
STU00337,"Python, Software Development, Machine Learning",Intermediate,Visual,1
STU00338,SQL,Intermediate,Visual,1
STU00339,Cloud Computing,Advanced,Reading,2
STU00340,Artificial Intelligence,Advanced,Visual,2
STU00341,Cloud Computing,Advanced,Visual,2
STU00342,"Software Development, Deep Learning",Intermediate,practical,1
STU00343,"Cloud Computing, Python",Intermediate,Reading,1
STU00344,"Cloud Computing, SQL, Deep Learning",Intermediate,practical,1
STU00345,Machine Learning,Advanced,practical,2
STU00346,"SQL, Deep Learning, Cloud Computing",Advanced,Visual,2
STU00347,Deep Learning,Intermediate,Visual,1
STU00348,"Machine Learning, Web Development, Artificial Intelligence",Beginner,Reading,0
STU00349,"Data Analytics, Cybersecurity",Intermediate,practical,1
STU00350,"DevOps, Web Development, Deep Learning",Intermediate,Visual,1
STU00351,"Artificial Intelligence, DevOps, Cloud Computing",Beginner,Visual,0
STU00352,"Cybersecurity, Cloud Computing",Intermediate,Visual,1
STU00353,Deep Learning,Beginner,Reading,0
STU00354,"Web Development, SQL",Intermediate,Visual,1
STU00355,Data Science,Intermediate,Visual,1
STU00356,Machine Learning,Intermediate,practical,1
STU00357,Cybersecurity,Intermediate,practical,1
STU00358,Data Analytics,Advanced,practical,2
STU00359,"Web Development, Artificial Intelligence, Cloud Computing",Advanced,practical,2
STU00360,"Machine Learning, SQL, Data Science",Beginner,Visual,0
STU00361,"Python, Web Development, Data Science",Beginner,practical,0
STU00362,"Data Science, Deep Learning",Advanced,practical,2
STU00363,Artificial Intelligence,Intermediate,practical,1
STU00364,"Deep Learning, SQL",Intermediate,practical,1
STU00365,"SQL, Web Development, Data Science",Advanced,Reading,2
STU00366,"Software Development, Cloud Computing, Machine Learning",Beginner,Reading,0
STU00367,Python,Advanced,Visual,2
STU00368,"Deep Learning, Web Development",Intermediate,practical,1
STU00369,Deep Learning,Beginner,practical,0
STU00370,"Data Science, Web Development",Intermediate,Visual,1
STU00371,"Web Development, Cloud Computing, Data Analytics",Advanced,Reading,2
STU00372,"Software Development, Python",Advanced,Reading,2
STU00373,"Data Science, Software Development",Intermediate,Reading,1
STU00374,"Cloud Computing, SQL, Python",Beginner,practical,0
STU00375,"SQL, Python",Advanced,practical,2
STU00376,Cloud Computing,Intermediate,Reading,1
STU00377,Artificial Intelligence,Beginner,Visual,0
STU00378,Data Science,Beginner,Reading,0
STU00379,"Cybersecurity, DevOps, Software Development",Intermediate,Visual,1
STU00380,"DevOps, Machine Learning, Software Development",Advanced,Reading,2
STU00381,"Data Science, DevOps, Python",Beginner,practical,0
STU00382,"Deep Learning, SQL",Beginner,Visual,0
STU00383,"DevOps, Software Development, Data Analytics",Advanced,Reading,2
STU00384,"Python, Data Analytics",Beginner,practical,0
STU00385,"Web Development, Deep Learning, Cybersecurity",Advanced,Visual,2
STU00386,SQL,Intermediate,practical,1
STU00387,Data Analytics,Beginner,practical,0
STU00388,"Software Development, SQL, Python",Advanced,practical,2
STU00389,"Deep Learning, Python",Intermediate,Reading,1
STU00390,"DevOps, Cybersecurity",Advanced,practical,2
STU00391,"DevOps, Cybersecurity, Cloud Computing",Intermediate,practical,1
STU00392,"Deep Learning, SQL, Cloud Computing",Advanced,practical,2
STU00393,"SQL, Data Science",Intermediate,practical,1
STU00394,"Machine Learning, Python",Advanced,Visual,2
STU00395,"Data Analytics, Data Science, DevOps",Beginner,practical,0
STU00396,"Cybersecurity, SQL, Machine Learning",Beginner,Reading,0
STU00397,"Cloud Computing, Data Analytics, DevOps",Intermediate,practical,1
STU00398,Deep Learning,Beginner,Reading,0
STU00399,"Python, SQL",Intermediate,Reading,1
STU00400,Data Analytics,Beginner,Reading,0
STU00401,"Deep Learning, Cloud Computing",Intermediate,Reading,1
STU00402,"Deep Learning, Data Analytics, Data Science",Beginner,Visual,0
STU00403,"Deep Learning, DevOps",Intermediate,Reading,1
STU00404,"Data Science, Artificial Intelligence, Data Analytics",Intermediate,Visual,1
STU00405,Data Science,Beginner,Visual,0
STU00406,"Software Development, Python",Beginner,Reading,0
STU00407,"Cybersecurity, Machine Learning, Deep Learning",Advanced,practical,2
STU00408,Artificial Intelligence,Advanced,Visual,2
STU00409,"Artificial Intelligence, Data Analytics",Beginner,practical,0
STU00410,"SQL, Machine Learning, Web Development",Advanced,practical,2
STU00411,Web Development,Advanced,Visual,2
STU00412,Data Analytics,Beginner,practical,0
STU00413,"Python, DevOps, SQL",Beginner,practical,0
STU00414,DevOps,Advanced,Reading,2
STU00415,"SQL, Cloud Computing, Machine Learning",Advanced,Reading,2
STU00416,"SQL, Python",Advanced,Visual,2
STU00417,Data Analytics,Intermediate,practical,1
STU00418,DevOps,Intermediate,practical,1
STU00419,"Artificial Intelligence, DevOps, Data Analytics",Advanced,Visual,2
STU00420,"Python, Deep Learning",Beginner,practical,0
STU00421,"Deep Learning, Web Development",Advanced,practical,2
STU00422,Cybersecurity,Intermediate,Visual,1
STU00423,"Cybersecurity, Data Science, Machine Learning",Intermediate,Visual,1
STU00424,Deep Learning,Intermediate,Reading,1
STU00425,"Web Development, Data Analytics, Cybersecurity",Intermediate,Visual,1
STU00426,"DevOps, Python, Artificial Intelligence",Intermediate,Reading,1
STU00427,"Python, Machine Learning",Beginner,Visual,0
STU00428,"Web Development, Software Development, Cybersecurity",Beginner,Visual,0
STU00429,SQL,Intermediate,Reading,1
STU00430,Cloud Computing,Beginner,practical,0
STU00431,"Data Science, Data Analytics",Beginner,Visual,0
STU00432,Cloud Computing,Intermediate,Reading,1
STU00433,Deep Learning,Beginner,Visual,0
STU00434,"Cloud Computing, Cybersecurity, Machine Learning",Beginner,practical,0
STU00435,"Data Analytics, DevOps, Python",Intermediate,practical,1
STU00436,SQL,Intermediate,Visual,1
STU00437,"Deep Learning, Python, Data Analytics",Beginner,Visual,0
STU00438,"Python, SQL, DevOps",Intermediate,practical,1
STU00439,SQL,Intermediate,Visual,1
STU00440,Cloud Computing,Advanced,Visual,2
STU00441,"Python, Data Analytics, Cloud Computing",Advanced,Visual,2
STU00442,Python,Intermediate,Visual,1
STU00443,"Cloud Computing, Software Development",Intermediate,practical,1
STU00444,"Data Science, Software Development, Machine Learning",Advanced,Visual,2
STU00445,Artificial Intelligence,Intermediate,practical,1
STU00446,"SQL, Cloud Computing",Advanced,practical,2
STU00447,Software Development,Intermediate,Reading,1
STU00448,Cloud Computing,Beginner,Reading,0
STU00449,"DevOps, Cloud Computing, Data Science",Advanced,Reading,2
STU00450,"Data Analytics, Deep Learning",Advanced,Visual,2
STU00451,Artificial Intelligence,Advanced,practical,2
STU00452,"Cybersecurity, SQL, Deep Learning",Intermediate,Visual,1
STU00453,Cloud Computing,Advanced,Reading,2
STU00454,DevOps,Advanced,Reading,2
STU00455,"Data Analytics, Cloud Computing",Beginner,Visual,0
STU00456,"Data Analytics, DevOps, Web Development",Beginner,practical,0
STU00457,"Cloud Computing, Data Analytics, Deep Learning",Intermediate,Reading,1
STU00458,"DevOps, Artificial Intelligence",Beginner,practical,0
STU00459,Data Science,Intermediate,Visual,1
STU00460,"Data Science, Artificial Intelligence",Intermediate,Visual,1
STU00461,"Web Development, Python",Intermediate,practical,1
STU00462,DevOps,Beginner,Visual,0
STU00463,"Web Development, Artificial Intelligence",Intermediate,practical,1
STU00464,"Cybersecurity, Artificial Intelligence",Advanced,Reading,2
STU00465,"Deep Learning, Cybersecurity",Beginner,Visual,0
STU00466,"DevOps, SQL, Web Development",Advanced,Reading,2
STU00467,"Python, DevOps, Cybersecurity",Beginner,Visual,0
STU00468,"Data Analytics, Machine Learning, Deep Learning",Intermediate,practical,1
STU00469,"Web Development, Artificial Intelligence",Intermediate,practical,1
STU00470,"Cybersecurity, Deep Learning, Software Development",Intermediate,Reading,1
STU00471,"Cloud Computing, Artificial Intelligence",Advanced,practical,2
STU00472,"Web Development, Artificial Intelligence",Intermediate,Reading,1
STU00473,Cloud Computing,Beginner,practical,0
STU00474,"Cybersecurity, Python, Data Science",Advanced,Visual,2
STU00475,"Machine Learning, Artificial Intelligence",Advanced,Reading,2
STU00476,"Artificial Intelligence, Data Science, Cloud Computing",Intermediate,Reading,1
STU00477,Artificial Intelligence,Advanced,Reading,2
STU00478,"Artificial Intelligence, Web Development, Data Science",Beginner,practical,0
STU00479,Web Development,Beginner,Reading,0
